"program_name";"command";"instruction"
"iarc_check";"ALT + T";"Select 'Tools'"
"iarc_check";"C";"Select 'IARC/IACR Check'"
"iarc_check";"%%WRITE_INPUT_PATH%%";"Write input file path"
"iarc_check";"TAB";"Press Tab"
"iarc_check";"TAB";"Press Tab"
"iarc_check";"%%WRITE_OUTPUT_PATH%%";"Write output file path"
"iarc_check";"ALT + N";"Select 'Next'"
"iarc_check";"ALT + Y";"Select 'Yes' if asked to overwrite"
"iarc_check";"ALT + N";"Ensure settings are correct and select 'Next'"
"iarc_check";"ALT + N";"Ensure settings are correct and select 'Next'"
"iarc_check";"TAB";"Press Tab"
"iarc_check";"TAB";"Press Tab"
"iarc_check";"ENTER";"Press Enter (Finish)"
"iarc_check";"%%WAIT_UNTIL_READY%%";"Wait until process has finished"
"iarc_check";"ENTER";"Press Enter (Ok)"
"iarc_multiple_primary";"ALT + T";"Select 'Tools'"
"iarc_multiple_primary";"M";"Select 'Multiple Primary'"
"iarc_multiple_primary";"%%WRITE_INPUT_PATH%%";"Write input file path"
"iarc_multiple_primary";"TAB";"Press Tab"
"iarc_multiple_primary";"TAB";"Press Tab"
"iarc_multiple_primary";"%%WRITE_OUTPUT_PATH%%";"Write output file path"
"iarc_multiple_primary";"ALT + N";"Select 'Next'"
"iarc_multiple_primary";"ALT + Y";"Select 'Yes' if asked to overwrite"
"iarc_multiple_primary";"ALT + N";"Ensure settings are correct and select 'Next'"
"iarc_multiple_primary";"TAB";"Ensure settings are correct and press Tab"
"iarc_multiple_primary";"TAB";"Press Tab"
"iarc_multiple_primary";"TAB";"Press Tab"
"iarc_multiple_primary";"TAB";"Press Tab"
"iarc_multiple_primary";"ENTER";"Press Enter (Finish)"
"iarc_multiple_primary";"%%WAIT_UNTIL_READY%%";"Wait until process has finished"
"iarc_multiple_primary";"ENTER";"Press Enter (Ok)"
"icdo3_to_icd10";"ALT + C";"Select 'Conversions'"
"icdo3_to_icd10";"3";"Select 'ICD-O-3 -> ICD-10'"
"icdo3_to_icd10";"%%WRITE_INPUT_PATH%%";"Write input file path"
"icdo3_to_icd10";"TAB";"Press Tab"
"icdo3_to_icd10";"TAB";"Press Tab"
"icdo3_to_icd10";"%%WRITE_OUTPUT_PATH%%";"Write output file path"
"icdo3_to_icd10";"ALT + N";"Select 'Next'"
"icdo3_to_icd10";"ALT + Y";"Select 'Yes' if asked to overwrite"
"icdo3_to_icd10";"ALT + N";"Ensure settings are correct and press Tab"
"icdo3_to_icd10";"TAB";"Press Tab"
"icdo3_to_icd10";"TAB";"Press Tab"
"icdo3_to_icd10";"TAB";"Press Tab"
"icdo3_to_icd10";"%%WAIT_UNTIL_READY%%";"Wait until process has finished"
"icdo3_to_icd10";"ENTER";"Press Enter (Ok)"
